filename,N,sources,N_perc,sources_perc,min_trap_count,attractor_count,sd_group_count,sd_group_size_mean,sd_group_size_std,sd_mc_edges_count,null_group_count,null_group_size_mean,null_group_size_std,null_mc_edges_count,random_group_count_mean,random_group_size_mean,random_group_size_stds_mean,random_mc_edges_count_mean,random_mc_edges_count_std
n010_000.bnet,10,0,10,0,2,2,16,64.0,32.0,46,3,341.3333333333333,437.46339529407743,5,16.0,64.0,14.034287205857174,225.98,0.13999999999999999
n010_001.bnet,10,0,6,1,5,5,12,5.333333333333333,8.065702421708576,32,6,10.666666666666666,21.171259344267224,11,12.0,5.333333333333335,4.016746516444015,68.03,2.559120942823922
n010_002.bnet,10,0,7,0,1,1,5,25.6,19.043108989868223,12,2,64.0,63.0,3,5.0,25.599999999999994,13.079940822220797,20.42,0.6660330322138683
n010_003.bnet,10,0,10,0,1,1,3,341.3333333333333,319.02176867557,6,2,512.0,511.0,3,3.0,341.3333333333334,240.97476841633107,7.0,0.0
n010_004.bnet,10,0,9,0,4,4,26,19.692307692307693,47.416947011646855,103,5,102.4,202.79999999999998,9,26.0,19.692307692307686,9.06555326767599,504.32,3.8128204783335917
n010_005.bnet,10,0,6,0,1,1,1,64.0,0.0,1,1,64.0,0.0,1,1.0,64.0,0.0,1.0,0.0
n010_006.bnet,10,0,10,0,2,2,20,51.2,71.05181208104408,80,3,341.3333333333333,481.3040157276434,5,20.0,51.19999999999999,18.183839898537517,340.58,1.2262136844775464
n010_007.bnet,10,0,9,0,2,2,19,26.94736842105263,22.23670196156399,69,3,170.66666666666666,239.94490108263514,5,19.0,26.947368421052623,10.178663612642312,303.25,1.4857657958103625
n010_008.bnet,10,0,8,0,3,3,6,42.666666666666664,39.655460601984636,14,4,64.0,92.09505958519165,7,6.0,42.66666666666668,33.34647992368737,20.55,0.5894913061275798
n010_009.bnet,10,0,8,0,2,2,4,64.0,56.50221234606659,8,3,85.33333333333333,59.63406930792349,5,4.0,64.0,45.1050383979126,10.0,0.0
n010_010.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_011.bnet,10,0,9,0,3,3,18,28.444444444444443,19.34259037639829,59,4,128.0,201.87991480085384,7,18.0,28.444444444444446,10.711912733604768,256.64,1.3893883546366725
n010_012.bnet,10,0,10,0,1,1,5,204.8,101.90073601304358,12,2,512.0,511.0,3,5.0,204.79999999999995,102.72391855393671,20.82,0.38418745424597095
n010_013.bnet,10,0,4,1,3,3,6,2.6666666666666665,2.211083193570267,10,4,4.0,5.196152422706632,7,6.0,2.6666666666666674,2.0244971525461404,16.55,1.2757350822173072
n010_014.bnet,10,0,3,0,1,1,2,4.0,0.0,3,2,4.0,0.0,3,2.0,4.0,0.0,3.0,0.0
n010_015.bnet,10,0,10,0,6,6,30,34.13333333333333,87.25431539789626,110,7,146.28571428571428,354.243142603541,13,30.0,34.133333333333326,17.2119564419282,634.69,2.7484359188454803
n010_016.bnet,10,0,9,0,3,3,14,36.57142857142857,73.15122719966034,44,4,128.0,219.9704525612474,7,14.0,36.571428571428555,19.38246000776913,142.23,1.654418326784372
n010_017.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_018.bnet,10,0,7,0,2,2,3,42.666666666666664,57.51135153650587,5,3,42.666666666666664,57.51135153650587,5,3.0,42.66666666666668,57.51135153650586,5.0,0.0
n010_019.bnet,10,0,7,0,1,1,4,32.0,30.041637771599603,10,2,64.0,63.0,3,4.0,32.0,18.45421493626921,12.81,0.3923009049186606
n010_020.bnet,10,0,10,0,1,1,3,341.3333333333333,465.8192305557549,6,2,512.0,510.0,3,3.0,341.3333333333334,240.26737921207896,7.0,0.0
n010_021.bnet,10,0,1,0,1,1,1,2.0,0.0,1,1,2.0,0.0,1,1.0,2.0,0.0,1.0,0.0
n010_022.bnet,10,0,9,0,1,1,3,170.66666666666666,133.42247020481804,5,2,256.0,255.0,3,3.0,170.6666666666667,120.28562223301441,7.0,0.0
n010_023.bnet,10,0,9,0,2,2,7,73.14285714285714,95.73389990926273,20,3,170.66666666666666,239.94490108263514,5,7.0,73.14285714285711,46.243243510705526,35.18,0.9631199302267603
n010_024.bnet,10,0,9,0,4,4,21,24.38095238095238,36.58060400771372,80,5,102.4,201.3033531762449,9,21.0,24.380952380952376,11.9449415942045,322.03,2.372572443572588
n010_025.bnet,10,0,8,0,1,1,3,85.33333333333333,61.13555066862124,5,2,128.0,127.0,3,3.0,85.33333333333336,60.013637684531666,6.99,0.09949874371066199
n010_026.bnet,10,0,1,1,2,2,2,1.0,0.0,2,2,1.0,0.0,2,2.0,1.0,0.0,2.0,0.0
n010_027.bnet,10,0,9,0,1,1,9,56.888888888888886,72.64287751955443,27,2,256.0,255.0,3,9.0,56.88888888888889,20.865963702670015,70.59,0.8613361713059542
n010_028.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_029.bnet,10,0,7,0,2,2,6,21.333333333333332,41.491632355880576,17,3,42.666666666666664,58.92556509887896,5,6.0,21.33333333333334,14.937244830452649,24.55,0.9096702699330126
n010_030.bnet,10,0,10,0,1,1,3,341.3333333333333,312.87626237149334,5,2,512.0,504.0,3,3.0,341.3333333333334,236.02428318977852,7.0,0.0
n010_031.bnet,10,0,9,0,1,1,7,73.14285714285714,72.97833058308389,22,2,256.0,255.0,3,7.0,73.14285714285711,30.478362364771247,41.8,0.7745966692414832
n010_032.bnet,10,0,4,1,2,2,4,4.0,3.0,6,3,5.333333333333333,6.128258770283412,5,4.0,4.0,3.2536558751431914,9.51,0.5915234568468101
n010_033.bnet,10,0,3,1,2,2,4,2.0,0.0,6,3,2.6666666666666665,0.9428090415820634,5,4.0,2.0,0.3181980515339464,8.91,1.3497777594848717
n010_034.bnet,10,0,1,1,2,2,2,1.0,0.0,2,2,1.0,0.0,2,2.0,1.0,0.0,2.0,0.0
n010_035.bnet,10,1,5,2,4,4,8,4.0,1.4142135623730951,12,5,6.4,6.858571279792899,9,8.0,4.0,1.7320803792941317,27.59,1.9031290024588456
n010_036.bnet,10,0,6,0,4,4,18,3.5555555555555554,0.9558139185602919,48,5,12.8,20.643643089338664,9,18.0,3.555555555555556,1.8076418656120625,119.11,5.0455822260666805
n010_037.bnet,10,0,1,0,1,1,1,2.0,0.0,1,1,2.0,0.0,1,1.0,2.0,0.0,1.0,0.0
n010_038.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_039.bnet,10,0,8,0,1,1,3,85.33333333333333,115.0487819241135,6,2,128.0,127.0,3,3.0,85.33333333333336,60.013637684531666,7.0,0.0
n010_040.bnet,10,0,2,2,4,4,4,1.0,0.0,4,4,1.0,0.0,4,4.0,1.0,0.0,4.0,0.0
n010_041.bnet,10,0,10,0,1,1,12,85.33333333333333,69.74756069012179,44,2,512.0,511.0,3,12.0,85.33333333333336,26.870238024406326,128.28,1.04
n010_042.bnet,10,0,6,0,1,1,9,7.111111111111111,4.4583116994975285,25,2,32.0,31.0,3,9.0,7.111111111111112,3.1635504584160903,65.71,2.4012288520672076
n010_043.bnet,10,1,8,1,2,2,5,51.2,25.10298786997277,9,3,85.33333333333333,79.0203911798861,5,5.0,51.19999999999999,25.611650925281438,16.78,0.4142463035441597
n010_044.bnet,10,0,10,0,1,1,3,341.3333333333333,394.8648151231282,6,2,512.0,504.0,3,3.0,341.3333333333334,236.02428318977852,7.0,0.0
n010_045.bnet,10,0,6,0,1,1,1,64.0,0.0,1,1,64.0,0.0,1,1.0,64.0,0.0,1.0,0.0
n010_046.bnet,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
n010_047.bnet,10,0,9,0,1,1,10,51.2,114.97982431713835,34,2,256.0,255.0,3,10.0,51.19999999999999,17.92269593139126,87.99,0.8887631855561976
n010_048.bnet,10,0,9,0,2,2,11,46.54545454545455,46.42171050932495,33,3,170.66666666666666,239.94490108263514,5,11.0,46.54545454545457,22.32671515836473,94.47,1.4314677781913223
n010_049.bnet,10,0,9,0,4,4,28,18.285714285714285,29.441051445287783,112,5,102.4,202.79999999999998,9,28.0,18.285714285714278,8.188138465826276,582.7,5.341348144429458
n010_050.bnet,10,0,3,0,1,1,2,4.0,2.0,3,2,4.0,2.0,3,2.0,4.0,2.0,3.0,0.0
n010_051.bnet,10,0,10,0,6,6,20,51.2,158.97471497065186,77,7,146.28571428571428,351.8017762830631,13,20.0,51.19999999999999,32.47962877599965,249.5,2.32163735324878
n010_052.bnet,10,0,1,1,2,2,2,1.0,0.0,2,2,1.0,0.0,2,2.0,1.0,0.0,2.0,0.0
n010_053.bnet,10,0,9,0,1,1,3,170.66666666666666,119.9731451432176,5,2,256.0,255.0,3,3.0,170.6666666666667,120.28562223301441,7.0,0.0
n010_054.bnet,10,0,3,0,1,1,3,2.6666666666666665,1.247219128924647,5,2,4.0,3.0,3,3.0,2.6666666666666674,1.4964112756274657,6.25,0.698212002188447
n010_055.bnet,10,0,9,0,3,3,10,51.2,117.30711828358926,38,4,128.0,219.9704525612474,7,10.0,51.19999999999999,33.59796642147312,67.73,1.4822617852457778
n010_056.bnet,10,0,5,0,1,1,1,32.0,0.0,1,1,32.0,0.0,1,1.0,32.0,0.0,1.0,0.0
n010_057.bnet,10,0,10,0,1,1,3,341.3333333333333,416.60719575585296,6,2,512.0,511.0,3,3.0,341.3333333333334,240.97476841633107,6.99,0.09949874371066199
n010_058.bnet,10,0,8,0,1,1,3,85.33333333333333,97.51695009358914,6,2,128.0,127.0,3,3.0,85.33333333333336,60.013637684531666,7.0,0.0
n010_059.bnet,10,0,7,2,4,4,12,10.666666666666666,8.096638534327411,24,5,25.6,49.2,9,12.0,10.66666666666667,7.411148505131352,83.27,1.636184586163798
n010_060.bnet,10,0,10,0,2,2,7,146.28571428571428,235.1648141111216,19,3,341.3333333333333,480.5970823419089,5,7.0,146.28571428571422,92.19805000594967,36.36,0.6406246951218786
n010_061.bnet,10,0,7,0,3,3,9,14.222222222222221,11.801862167356639,23,4,32.0,52.54046059942756,7,9.0,14.222222222222223,9.512141751285464,52.8,1.2569805089976536
n010_062.bnet,10,0,10,0,1,1,5,204.8,347.253452106671,15,2,512.0,508.0,3,5.0,204.79999999999995,101.23439606215648,20.99,0.09949874371066197
n010_063.bnet,10,0,5,0,2,2,5,6.4,8.138795979750322,11,3,10.666666666666666,13.67073110293992,5,5.0,6.399999999999999,4.79658686793828,16.19,0.7575618786607466
n010_064.bnet,10,0,6,0,1,1,1,64.0,0.0,1,1,64.0,0.0,1,1.0,64.0,0.0,1.0,0.0
n010_065.bnet,10,0,4,0,1,1,1,16.0,0.0,1,1,16.0,0.0,1,1.0,16.0,0.0,1.0,0.0
n010_066.bnet,10,0,10,0,1,1,13,78.76923076923077,36.3363641679619,42,2,512.0,508.0,3,13.0,78.76923076923075,23.14502593963634,156.25,0.7921489758877429
n010_067.bnet,10,0,4,0,1,1,3,5.333333333333333,6.128258770283412,6,2,8.0,7.0,3,3.0,5.333333333333335,3.4307647456541237,6.87,0.33630343441600474
n010_068.bnet,10,0,3,0,1,1,3,2.6666666666666665,2.3570226039551585,6,2,4.0,3.0,3,3.0,2.6666666666666674,1.4964112756274657,6.62,0.48538644398046393
n010_069.bnet,10,0,5,0,2,2,8,4.0,6.123724356957945,24,3,10.666666666666666,13.67073110293992,5,8.0,4.0,2.3946284689813653,38.36,2.5749563103089725
n010_070.bnet,10,0,1,1,2,2,2,1.0,0.0,2,2,1.0,0.0,2,2.0,1.0,0.0,2.0,0.0
n010_071.bnet,10,0,5,0,2,2,6,5.333333333333333,6.128258770283412,13,3,10.666666666666666,13.67073110293992,5,6.0,5.333333333333335,3.5687626288643135,23.07,0.9513674369033239
