bnet,method,run,rmsd,kld,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,0.01568697158060496,0.0007385943724255231,1024,2,asynchronous
n010_000.bnet,null_mc,,0.2991985580333666,0.19163572775249968,1024,2,asynchronous
n010_000.bnet,ref,,0.2991985580333666,0.19163572775249968,1024,2,asynchronous
n010_000.bnet,random_mc,0.0,0.29640452886797114,0.1883074283982681,1024,2,asynchronous
n010_000.bnet,random_mc,1.0,0.30345381634791224,0.1967647350752429,1024,2,asynchronous
n010_000.bnet,random_mc,2.0,0.2992745568160616,0.1917266942096088,1024,2,asynchronous
n010_000.bnet,random_mc,3.0,0.298145004470232,0.19037705901396978,1024,2,asynchronous
n010_000.bnet,random_mc,4.0,0.30095378416847196,0.1937425425716245,1024,2,asynchronous
n010_000.bnet,random_mc,5.0,0.29637740644626165,0.18827527202109892,1024,2,asynchronous
n010_000.bnet,random_mc,6.0,0.2995579324690178,0.1920660833783626,1024,2,asynchronous
n010_000.bnet,random_mc,7.0,0.29930386008971555,0.19176177482507992,1024,2,asynchronous
n010_000.bnet,random_mc,8.0,0.2998899451229451,0.19246413239398677,1024,2,asynchronous
n010_000.bnet,random_mc,9.0,0.2947202001937583,0.18631602457804075,1024,2,asynchronous
n010_000.bnet,random_mc,10.0,0.3006355114154816,0.1933595996938145,1024,2,asynchronous
n010_000.bnet,random_mc,11.0,0.30483390870936267,0.198443886923824,1024,2,asynchronous
n010_000.bnet,random_mc,12.0,0.3004787055192077,0.19317108179339704,1024,2,asynchronous
n010_000.bnet,random_mc,13.0,0.29384646221943644,0.18528741883597516,1024,2,asynchronous
n010_000.bnet,random_mc,14.0,0.3047014071366747,0.19828233810526208,1024,2,asynchronous
n010_000.bnet,random_mc,15.0,0.295450081729231,0.1871775918214911,1024,2,asynchronous
n010_000.bnet,random_mc,16.0,0.2989006775920296,0.19127940358181045,1024,2,asynchronous
n010_000.bnet,random_mc,17.0,0.2989620168431722,0.19135274850277562,1024,2,asynchronous
n010_000.bnet,random_mc,18.0,0.2956093109933974,0.18736582986255376,1024,2,asynchronous
n010_000.bnet,random_mc,19.0,0.30230431036182503,0.19537201379734795,1024,2,asynchronous
n010_000.bnet,random_mc,20.0,0.2977438466298311,0.18989896501140918,1024,2,asynchronous
n010_000.bnet,random_mc,21.0,0.29985839533897624,0.19242628846372378,1024,2,asynchronous
n010_000.bnet,random_mc,22.0,0.2999739182571718,0.19256487750839715,1024,2,asynchronous
n010_000.bnet,random_mc,23.0,0.3003883888190826,0.19306254446458715,1024,2,asynchronous
n010_000.bnet,random_mc,24.0,0.29724842377644717,0.18930941259236694,1024,2,asynchronous
n010_000.bnet,random_mc,25.0,0.3014119550257051,0.19429452415864215,1024,2,asynchronous
n010_000.bnet,random_mc,26.0,0.300504277810952,0.19320181902330116,1024,2,asynchronous
n010_000.bnet,random_mc,27.0,0.29831240153698785,0.1905767502075769,1024,2,asynchronous
n010_000.bnet,random_mc,28.0,0.29627325627555107,0.1881518186086278,1024,2,asynchronous
n010_000.bnet,random_mc,29.0,0.2970497012233958,0.18907320773930344,1024,2,asynchronous
n010_001.bnet,sd_mc,,0.025674494883054663,0.008841299054521051,64,5,asynchronous
n010_001.bnet,null_mc,,0.07938224485746867,0.06773281688271263,64,5,asynchronous
n010_001.bnet,ref,,0.04544699866327808,0.026206781139997023,64,5,asynchronous
n010_001.bnet,random_mc,0.0,0.0748528079552742,0.0594250891275441,64,5,asynchronous
n010_001.bnet,random_mc,1.0,0.06675764903346786,0.04880115196124937,64,5,asynchronous
n010_001.bnet,random_mc,2.0,0.07157191696289993,0.052746039856152546,64,5,asynchronous
n010_001.bnet,random_mc,3.0,0.09033887117853406,0.088952976057208,64,5,asynchronous
n010_001.bnet,random_mc,4.0,0.06862399197562691,0.05007519738229241,64,5,asynchronous
n010_001.bnet,random_mc,5.0,0.07734782696452347,0.06145912515209401,64,5,asynchronous
n010_001.bnet,random_mc,6.0,0.08252305453360394,0.07272740268680851,64,5,asynchronous
n010_001.bnet,random_mc,7.0,0.07390536995547253,0.06265096894130183,64,5,asynchronous
n010_001.bnet,random_mc,8.0,0.07822008746015158,0.06552351116320015,64,5,asynchronous
n010_001.bnet,random_mc,9.0,0.08784122172542529,0.0834748275739143,64,5,asynchronous
n010_001.bnet,random_mc,10.0,0.09204510847673945,0.09075002295243371,64,5,asynchronous
n010_001.bnet,random_mc,11.0,0.08903484234276043,0.08466238503878262,64,5,asynchronous
n010_001.bnet,random_mc,12.0,0.08043900037076387,0.06943057591657013,64,5,asynchronous
n010_001.bnet,random_mc,13.0,0.08075214264914077,0.07524827493723053,64,5,asynchronous
n010_001.bnet,random_mc,14.0,0.06408197913151156,0.04532212566512006,64,5,asynchronous
n010_001.bnet,random_mc,15.0,0.0817158058065194,0.07237235181577421,64,5,asynchronous
n010_001.bnet,random_mc,16.0,0.06629762788080948,0.0467117084500759,64,5,asynchronous
n010_001.bnet,random_mc,17.0,0.09401653077652174,0.09571040619800848,64,5,asynchronous
n010_001.bnet,random_mc,18.0,0.07684103420649094,0.06942300069165082,64,5,asynchronous
n010_001.bnet,random_mc,19.0,0.08236624100716095,0.07614038831427196,64,5,asynchronous
n010_001.bnet,random_mc,20.0,0.07874848400238253,0.06990312828154337,64,5,asynchronous
n010_001.bnet,random_mc,21.0,0.0823166110155208,0.07212361408729069,64,5,asynchronous
n010_001.bnet,random_mc,22.0,0.07257447135026786,0.05360497975004676,64,5,asynchronous
n010_001.bnet,random_mc,23.0,0.08026863850729789,0.07212313484217717,64,5,asynchronous
n010_001.bnet,random_mc,24.0,0.07847535986507283,0.06653592469738921,64,5,asynchronous
n010_001.bnet,random_mc,25.0,0.05771740787437531,0.03766768518225255,64,5,asynchronous
n010_001.bnet,random_mc,26.0,0.08753947203386825,0.08596276929799168,64,5,asynchronous
n010_001.bnet,random_mc,27.0,0.08119614635605509,0.07253173448882237,64,5,asynchronous
n010_001.bnet,random_mc,28.0,0.08389025619438502,0.07541120488967279,64,5,asynchronous
n010_001.bnet,random_mc,29.0,0.08281709013650551,0.07539840667493386,64,5,asynchronous
n010_004.bnet,sd_mc,,0.03444428065804177,0.009473712094019229,512,4,asynchronous
n010_004.bnet,null_mc,,0.11216193151186163,0.13620435098690525,512,4,asynchronous
n010_004.bnet,ref,,0.12408776605129096,0.15877550770257204,512,4,asynchronous
n010_004.bnet,random_mc,0.0,0.1096393535094926,0.1313844455485484,512,4,asynchronous
n010_004.bnet,random_mc,1.0,0.11258354317414683,0.13617166118838422,512,4,asynchronous
n010_004.bnet,random_mc,2.0,0.10300682991128593,0.11911411774778548,512,4,asynchronous
n010_004.bnet,random_mc,3.0,0.11662863738657472,0.14432193234638696,512,4,asynchronous
n010_004.bnet,random_mc,4.0,0.11024295940134228,0.13255122353116183,512,4,asynchronous
n010_004.bnet,random_mc,5.0,0.11546418464815077,0.1421043286819643,512,4,asynchronous
n010_004.bnet,random_mc,6.0,0.11237906891072533,0.13663108333961657,512,4,asynchronous
n010_004.bnet,random_mc,7.0,0.10930874596004492,0.1309189500994757,512,4,asynchronous
n010_004.bnet,random_mc,8.0,0.10477135143426128,0.12204355186833385,512,4,asynchronous
n010_004.bnet,random_mc,9.0,0.11247716384513884,0.137504155961651,512,4,asynchronous
n010_004.bnet,random_mc,10.0,0.1135123705334124,0.13936558124657067,512,4,asynchronous
n010_004.bnet,random_mc,11.0,0.1267614852466829,0.16450111628266467,512,4,asynchronous
n010_004.bnet,random_mc,12.0,0.11217768366003736,0.13601691071148908,512,4,asynchronous
n010_004.bnet,random_mc,13.0,0.10713083812850113,0.12692493547643896,512,4,asynchronous
n010_004.bnet,random_mc,14.0,0.10524568874310182,0.12301895858058005,512,4,asynchronous
n010_004.bnet,random_mc,15.0,0.11767087228988601,0.1461483978834749,512,4,asynchronous
n010_004.bnet,random_mc,16.0,0.10916332394657474,0.13072746504278432,512,4,asynchronous
n010_004.bnet,random_mc,17.0,0.10941809373683611,0.1321458156421898,512,4,asynchronous
n010_004.bnet,random_mc,18.0,0.1080472392355581,0.1281027883571036,512,4,asynchronous
