model,method,run,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,480,0,5152,0,1024,2,asynchronous
n010_000.bnet,null_mc,,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,0,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,1,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,2,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,3,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,4,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,5,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,6,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,7,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,8,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,9,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,10,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,11,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,12,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,13,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,14,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,15,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,16,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,17,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,18,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,19,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,20,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,21,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,22,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,23,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,24,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,25,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,26,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,27,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,28,32,160,4992,448,1024,2,asynchronous
n010_000.bnet,random_mc,29,32,160,4992,448,1024,2,asynchronous
n010_001.bnet,sd_mc,,24,14,162,24,64,5,asynchronous
n010_001.bnet,null_mc,,12,12,164,36,64,5,asynchronous
n010_001.bnet,random_mc,0,12,12,164,36,64,5,asynchronous
