model,method,run,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,640,0,384,0,1024,2,asynchronous
n010_000.bnet,null_mc,,64,0,384,576,1024,2,asynchronous
n010_000.bnet,ref,,0,0,384,640,1024,2,asynchronous
n010_000.bnet,random_mc,0,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,1,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,2,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,3,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,4,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,5,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,6,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,7,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,8,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,9,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,10,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,11,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,12,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,13,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,14,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,15,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,16,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,17,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,18,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,19,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,20,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,21,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,22,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,23,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,24,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,25,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,26,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,27,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,28,64,0,384,576,1024,2,asynchronous
n010_000.bnet,random_mc,29,64,0,384,576,1024,2,asynchronous
n010_001.bnet,sd_mc,,10,0,36,18,64,5,asynchronous
n010_001.bnet,null_mc,,6,0,36,22,64,5,asynchronous
n010_001.bnet,ref,,0,0,36,28,64,5,asynchronous
n010_001.bnet,random_mc,0,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,1,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,2,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,3,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,4,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,5,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,6,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,7,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,8,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,9,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,10,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,11,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,12,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,13,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,14,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,15,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,16,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,17,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,18,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,19,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,20,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,21,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,22,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,23,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,24,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,25,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,26,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,27,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,28,6,0,36,22,64,5,asynchronous
n010_001.bnet,random_mc,29,6,0,36,22,64,5,asynchronous
