bnet,method,run,rmsd,TP,FP,TN,FN,n_states,n_attractors,update_scheme
n010_000.bnet,sd_mc,,0.043221955751924966,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,0.0,0.17189224128153213,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,1.0,0.24530458798067253,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,2.0,0.14531836464091824,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,3.0,0.1659208240247834,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,4.0,0.16634980066088803,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,5.0,0.18061215680495005,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,6.0,0.14877450812209858,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,7.0,0.16336606487395103,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,8.0,0.12870029763136792,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,9.0,0.17332619200390767,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,10.0,0.1747400594266401,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,11.0,0.1340641133854205,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,12.0,0.17651915564747528,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,13.0,0.17295153055025755,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,14.0,0.1625019409392675,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,15.0,0.1591876322260815,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,16.0,0.234351258461055,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,17.0,0.1674471741128895,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,18.0,0.2079876030939657,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,19.0,0.16924045865747522,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,20.0,0.17108220782433828,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,21.0,0.16683469194669998,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,22.0,0.1472853554037026,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,23.0,0.13915742098229889,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,24.0,0.19644534260409705,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,25.0,0.17285370128827202,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,26.0,0.21999486802426926,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,27.0,0.0976484251344171,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,28.0,0.16108515947187452,96,0,0,0,1024,2,asynchronous
n010_000.bnet,ref,29.0,0.20692255604025106,96,0,0,0,1024,2,asynchronous
n010_001.bnet,sd_mc,,0.06349309116483458,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,0.0,0.08649317906822189,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,1.0,0.149574667984247,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,2.0,0.06952670708215229,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,3.0,0.11956230038205644,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,4.0,0.07778987668446745,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,5.0,0.09442740649873602,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,6.0,0.08124466656593875,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,7.0,0.06977422807116848,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,8.0,0.11671958548342268,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,9.0,0.08349817665745655,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,10.0,0.11017147262571983,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,11.0,0.06613854216573338,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,12.0,0.06624623287097485,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,13.0,0.10175683306752582,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,14.0,0.11163004468698388,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,15.0,0.09155713862760868,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,16.0,0.09742682883965209,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,17.0,0.12153827142109155,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,18.0,0.11225291251113631,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,19.0,0.0832081961517136,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,20.0,0.13289058920549526,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,21.0,0.11921884945104132,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,22.0,0.11950859315519895,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,23.0,0.09655590389271347,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,24.0,0.10664511508828632,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,25.0,0.10765287921099849,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,26.0,0.0940746864542702,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,27.0,0.0969909991541554,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,28.0,0.06158023978460206,16,0,0,0,64,5,asynchronous
n010_001.bnet,ref,29.0,0.07454412112467966,16,0,0,0,64,5,asynchronous
n010_002.bnet,sd_mc,,0.14987311427583958,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,0.0,0.2696886424549689,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,1.0,0.3839030008657702,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,2.0,0.18301359797693148,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,3.0,0.334916472871555,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,4.0,0.3175582046155182,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,5.0,0.21450146167250597,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,6.0,0.35264557446130446,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,7.0,0.40911288836986537,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,8.0,0.31284241305883265,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,9.0,0.2037315507578398,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,10.0,0.31619608685217077,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,11.0,0.2961035075128552,8,0,0,0,128,1,asynchronous
n010_002.bnet,ref,12.0,0.4245595639575365,8,0,0,0,128,1,asynchronous
